1000238|Christy|Herrin|christy.herrin@example.com|SILVER|MOBILE:918-555-1162|5179798,5346469,5517663,5783754,5811408,5828487,5838891,5854423,5864072,5904496,5927566,5930762,5933463,5939057,5989823,6086708,6122093,6136912,6196295,6223670,6258692,6327973,6373285,6384529,6481652,6484329,6485890,6531025,6612924|409,83726,15579,451794
1000279|Casey|Franco|franco81@example.com|SILVER|WORK:916-555-2791|5262426,5307405,5477142,5507578,5609963,5640325,5714567,5809293,5854218,5864478,6052001,6111750,6116797,6128791,6134800,6136527,6153194,6161430,6287762,6397209,6474968,6544432|529,74626,19800,435615
1000810|Adam|Montoya|amontoya@example.com|SILVER|WORK:415-555-4950|5006384,5057993,5220993,5401325,5633591,5650325,5836641,5874250,5903066,5987854,6196986,6254265|409,418177,46873,562486
1001219|Ervin|Groff|eg1981@example.com|SILVER|WORK:915-555-7945|5104660,5287498,5679336,5790583,5791777,5795316,5844532,5855379,5901252,5938239,5951563,5952299,5955489,5988409,5994480,6003787,6118472,6151719,6163195,6213375,6220044,6231296,6326088,6360650,6391878|808,62818,18312,457810
1001661|Jody|Culver|jody.culver@example.com|SILVER|MOBILE:515-555-8686,HOME:515-555-2233|5002071,5132660,5459665,5478462,5546890,5588290,5782846,5854706,6050353,6070769,6097523,6168986,6171973,6208380,6238245,6372287,6383168,6485238,6503277,6585655,6608572|119,71857,26562,557817
1003097|Maribel|Davila|md1959@example.com|SILVER|WORK:303-555-3538|5085927,5178288,5246407,5332795,5439558,5444604,5775007,5792733,6025859,6123393,6145994,6208763,6317532,6402400|1258,227269,30472,426614
1003350|Pearl|Vasquez|pearl.vasquez@example.com|SILVER|WORK:512-555-5846|5086764,5506343,5605634,5688816,5819507,5826092,5849370,5883569,5999472,6009889,6013084,6060366,6116561,6175461,6255540,6334234,6371777,6431022,6468244,6488058|1299,75998,20573,411469
1003378|Mary|Reyes|mr1993@example.com|SILVER|MOBILE:682-555-5064|5132536,5537342,5618149,5671918,5735144,5791069,5801180,5832434,5881357,5882695,5936692,5945856,5952259,5959287,5979212,6022864,6029580,6062105,6123677,6223069,6237487,6327467,6347826,6350255,6420063,6446488,6522213,6532874|119,52077,13900,389225
1003776|Dorothy|Brady|db1954@example.com|GOLD|MOBILE:916-555-2155|5161987,5417213,5446687,5852622,5870952,5903927,5953105,6222239,6250901,6272784,6313819,6456206,6473777,6662291|1588,470019,47814,669399
1004966|Sonya|Cooper|sonya.cooper@example.com|SILVER|WORK:806-555-4722|5094841,5775203,5780485,5783004,5804697,5817584,5837339,5843409,5937395,5941320,5946427,5962244,5988776,6159258,6186626,6194967,6208129,6252330,6260459,6367274,6371992,6407066,6420853,6432300,6479529,6644625,6647932|848,86867,22865,617359
1006798|Sean|Lau|sean.lau@example.com|SILVER|WORK:918-555-0255|5760344,5824270,5894778,5948405,5989734,6019798,6057034,6067932,6097900,6099794,6104037,6209125,6355990,6369800,6378669,6380396,6391809,6418573,6528654,6541437,6542230,6561635,6589311|1939,55156,17370,399512
1007234|Jamal|Salazar|jamal.salazar@example.com|GOLD|MOBILE:415-555-9101,HOME:415-555-8725|5091616,5127322,5170135,5391485,5396098,5468414,5471424,5543189,5620741,5679077,5925920,5935879,6000799,6090601,6165057,6182878,6250263,6378253|2959,508018,42843,771184
1007279|Tina|Dunn|tina84@example.com|SILVER|WORK:415-555-9508|5042966,5242492,5295986,5388275,5637486,5648448,5727639,5736990,5752073,5814692,5850036,6043159,6113911,6154512,6171486,6341112,6346017,6472913,6601363,6637583|2038,208318,24834,496688
1008632|Cynthia|Luther|cynthia.luther@example.com|SILVER|HOME:303-555-6307|5050403,5096057,5371031,5689674,5690798,5824780,5905228,5911322,5967960,5986025,6052137,6115244,6220566,6248773,6582892,6648830|1639,129219,32520,520321
1009678|John|Braden|john.braden@example.com|SILVER|WORK:510-555-7423|5064280,5066475,5145230,5319790,5422559,5628668,5745862,5867499,5950530,6171674,6174666,6219900,6269518,6366440,6594114,6648205|2268,269526,25319,405104
1010095|Kathy|Clark|kc1976@example.com|SILVER|MOBILE:415-555-6795,HOME:415-555-6083|5341125,5408288,5517044,5527817,5543467,5615034,5674604,5769842,5802525,5852664,5900497,6013544,6117032,6155573,6627026|1608,229329,30089,451341
1010987|Gina|Curtis|gina59@example.com|GOLD|HOME:415-555-0650|5018487,5053528,5292346,5396858,5537267,5676589,5751605,5755340,5788687,5893107,6065329,6168529,6210401,6263496,6325468|1538,483338,47640,714607
1011338|Fred|Levy|fl1946@example.com|SILVER|MOBILE:831-555-0911|5437619,5484236,5591650,5639116,5923968,6004066,6065209,6068895,6181197,6220250,6294148,6593595,6653187,6660345|609,399168,48996,685955
1012361|Isaac|Barlow|isaac.barlow@example.com|SILVER|HOME:281-555-3044|5009854,5127651,5144068,5262076,5586255,5820036,5824894,5885958,5932806,5945766,5949946,6018103,6058543,6059924,6076210,6143814,6148891,6166855,6192025,6206268,6355741,6405927,6634303|529,81959,16269,374209
1014874|Pamela|Boothe|pboothe@example.com|SILVER|WORK:415-555-6278|5229321,5421586,5558292,5611088,5684452,5831168,5851901,6013240,6126554,6197041,6206057|739,230177,41440,455849
1015783|Lenora|Crouse|lc1975@example.com|SILVER|WORK:915-555-4583|5191989,5288459,5480693,5931718,5951773,5955088,6033450,6081099,6085754,6087013,6118810,6215975,6229137,6279501,6304238,6323162,6340796,6583169|3308,74106,25354,456386
1016048|Annie|Conner|ac1993@example.com|GOLD|MOBILE:402-555-3138|5028508,5299186,5359586,5616103,5753995,5775214,5851028,5872629,5873162,5952573,6083234,6389437,6434419,6465232,6486552,6531638,6583008,6622502|2488,479878,50794,914292
1016148|Billy|Murphy|billy50@example.com|SILVER|HOME:281-555-2777|5094594,5195881,5238392,5365741,5866533,5867521,5868282,5882772,5907519,5987183,6032608,6093271,6096005,6122473,6204445,6205092,6236360,6244445,6434413,6470176,6536370,6636487|829,55076,18962,417165
1016520|Sharon|Hyde|sharon.hyde@example.com|SILVER|HOME:916-555-8799|5043557,5148051,5155147,5361806,5575500,5839386,5879678,5932339,6087130,6090976,6126264,6195213,6356514,6453699,6559821|1808,227269,31022,465338
1017011|Jesse|Joiner|jjoiner@example.com|SILVER|MOBILE:214-555-1116|5489538,5557451,5792751,5896632,5914343,5955634,6006662,6032453,6040155,6061745,6164729,6188825,6191428,6421191,6564195,6575269,6614206,6657749|1038,133858,28716,516904
1017031|Wanda|Corley|wanda.corley@example.com|SILVER|MOBILE:512-555-2091|5255958,5730728,5799710,5835116,5874089,5892628,5946752,5956165,6054858,6224373,6272915,6278730,6312902,6346791,6374136,6484023,6534627|609,240488,26846,456382
1018021|Kimberly|Hearne|kh1979@example.com|SILVER|HOME:214-555-7874|5162998,5842041,5905964,6044191,6046495,6060204,6061080,6128501,6302796,6302908,6451458,6458264,6468424,6487185,6532979,6584175,6598514|629,398128,39511,671689
1018102|Israel|Hamby|israel.hamby@example.com|SILVER|MOBILE:936-555-4100|5776391,5825583,5857372,5868246,5875415,5880550,5881078,5938153,5975022,5978335,5993201,6007291,6047654,6064815,6091324,6106082,6181396,6192365,6196630,6218313,6224153,6231018,6255499,6356371|649,131198,23267,558420
1019052|Karen|Gregg|karen69@example.com|SILVER|HOME:504-555-3433|5579122,5674966,5780012,5795640,5838529,5881796,5910218,5930956,5973082,6016625,6017465,6054104,6077577,6114241,6136636,6143707,6158056,6290805,6346927,6383879,6410734,6447089,6488507,6524670|509,70456,13995,335886
